ensembl_id	SRR349741	SRR349742	SRR349743	SRR349744	SRR349745	SRR349746	SRR349747	SRR349748	SRR349749	SRR349750	SRR349751	SRR349752
ENSG00000165732.12	12118	14507	9923	13685	25593	27363	12217	1897	3870	1591	3794	1718
ENSG00000165733.7	1230	1801	2341	2359	5200	2842	6253	342	1415	572	1233	943
ENSG00000165752.16	528	567	378	264	491	623	413	167	76	227	188	190
ENSG00000165757.8	1176	8175	4194	4092	3955	3222	4143	114	76	38	189	114
ENSG00000165762.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165775.17	4217	4134	3071	1802	4219	5864	4124	494	1738	949	1023	793
ENSG00000165782.10	1276	1767	1981	3371	896	2248	3194	152	939	938	1024	806
ENSG00000165792.17	1502	3108	1327	3124	2934	3468	4001	532	1560	831	1333	646
ENSG00000165794.9	228	3710	266	416	664	608	1402	1630	8367	2686	2706	2721
ENSG00000165795.22	4060	16315	6175	10201	5218	19965	14409	22814	46419	15897	56232	37258
ENSG00000165799.4	570	2611	2771	228	453	1977	4423	4331	36545	1287	12319	15633
ENSG00000165801.9	2130	4488	3181	2738	2904	4365	3451	276	408	380	568	262
ENSG00000165802.20	5879	9446	3094	7574	12384	22565	6226	1357	2260	1466	2526	1959
ENSG00000165804.15	1233	4023	1743	3232	2164	4289	1850	1460	1687	1274	1567	606
ENSG00000165805.9	0	0	0	38	38	0	0	0	0	0	0	38
ENSG00000165806.19	3430	3406	794	2654	3938	5801	3931	494	865	416	722	341
ENSG00000165807.7	38	133	76	31	0	104	190	76	38	76	189	38
ENSG00000165810.16	529	76	114	38	265	76	684	0	0	38	0	38
ENSG00000165813.17	5388	5400	3757	4738	5044	7648	22379	1251	5007	1786	5493	3134
ENSG00000165816.12	38	415	341	38	747	76	404	38	76	38	188	38
ENSG00000165819.11	2452	4140	2888	6790	4204	5338	8719	854	1923	797	1283	1063
ENSG00000165821.11	152	491	341	1026	282	190	1062	0	114	38	76	122
ENSG00000165828.14	0	111	38	378	0	115	38	0	0	0	0	0
ENSG00000165832.5	7732	3972	2313	5119	6219	13165	24233	836	2652	1517	1745	1747
ENSG00000165837.11	131	198	76	321	200	170	174	81	64	3	43	45
ENSG00000165841.9	114	303	38	220	38	326	104	293	1089	672	1468	846
ENSG00000165861.13	4126	4150	6644	3738	1808	4540	4503	3480	9161	3391	8108	5950
ENSG00000165863.16	0	0	76	0	38	0	0	0	0	0	0	0
ENSG00000165868.13	5562	3334	1465	469	1841	862	1423	0	283	38	73	74
ENSG00000165874.12	2842	2906	1721	2638	2476	3123	2335	644	810	584	1236	533
ENSG00000165879.8	228	416	76	262	264	494	152	266	265	76	265	325
ENSG00000165886.4	2306	2827	1546	1725	1613	2658	1966	265	796	455	1366	941
ENSG00000165887.11	190	0	38	112	311	1061	38	0	114	38	99	76
ENSG00000165891.15	1580	1717	682	2794	2737	4908	5223	0	152	37	76	76
ENSG00000165895.17	3940	3580	1284	9300	1604	5757	1779	414	1439	531	1093	608
ENSG00000165898.13	3911	2807	1845	5144	2565	3735	3466	455	1898	721	1325	1059
ENSG00000165899.10	114	76	38	38	0	38	38	0	0	0	0	0
ENSG00000165905.17	2371	6164	3186	5209	3559	1439	2782	454	266	415	556	359
ENSG00000165912.15	1100	2529	1128	2801	3499	2083	2588	835	865	859	1825	1402
ENSG00000165914.14	4805	5211	2560	6444	2204	2264	2820	266	218	301	266	327
ENSG00000165915.13	1474	3173	1895	2061	2215	1313	2427	113	265	342	190	190
ENSG00000165916.8	751	1057	1061	2735	3078	1127	5080	114	114	152	525	190
ENSG00000165917.9	0	0	0	25	0	0	0	0	0	0	0	0
ENSG00000165923.15	186	160	304	144	62	38	340	0	0	38	0	76
ENSG00000165929.12	5606	833	4035	2721	3596	3349	1177	3049	7540	3148	6118	3037
ENSG00000165934.12	13513	13851	12044	15868	12349	23700	20184	3156	6626	3156	6046	4213
ENSG00000165935.9	76	107	205	114	75	260	115	0	92	38	114	103
ENSG00000165943.4	1098	1439	1137	1272	494	1217	947	114	228	151	341	187
ENSG00000165948.10	1009	1327	950	897	300	342	1795	302	1289	227	113	341
ENSG00000165949.12	83309	45624	16222	8617	8184	64253	100137	5792	28543	14125	7052	5322
ENSG00000165953.9	0	0	108	0	0	0	0	0	0	0	0	0
ENSG00000165959.11	1244	524	2303	2961	633	3643	3666	228	560	266	608	74
ENSG00000165966.14	62	114	127	112	38	0	0	0	0	0	37	0
ENSG00000165970.11	0	0	266	0	0	76	0	0	0	0	0	0
ENSG00000165972.12	35	38	0	0	50	34	38	0	0	0	0	0
ENSG00000165973.18	0	40	38	0	225	38	58	0	20	0	0	21
ENSG00000165983.14	1787	795	1133	266	4373	3929	1554	304	1288	605	478	304
